,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,num_parks,QUARTER,YEAR
91,BRONX,1,0,11,8,0,4,0,24,217,4,2020
92,BROOKLYN,1,1,10,10,1,7,0,30,327,4,2020
93,BROOKLYN/QUEENS,0,1,1,1,0,1,0,4,5,4,2020
94,MANHATTAN,0,1,22,10,10,22,1,66,196,4,2020
95,QUEENS,1,3,9,4,1,9,0,27,284,4,2020
96,STATEN ISLAND,0,0,0,0,1,0,0,1,124,4,2020
97,BRONX,0,0,4,4,3,3,0,14,217,1,2021
98,BROOKLYN,0,0,4,5,0,2,0,11,327,1,2021
99,BROOKLYN/QUEENS,0,0,1,0,0,0,0,1,5,1,2021
100,MANHATTAN,1,0,11,8,3,11,0,34,196,1,2021
101,QUEENS,1,0,12,6,0,5,0,24,284,1,2021
102,STATEN ISLAND,0,0,0,0,0,0,0,0,124,1,2021
103,BRONX,0,2,25,14,3,10,0,54,217,2,2021
104,BROOKLYN,0,0,22,21,1,30,0,74,327,2,2021
105,BROOKLYN/QUEENS,0,0,0,0,1,0,0,1,5,2,2021
106,MANHATTAN,0,4,16,39,0,42,0,101,196,2,2021
107,QUEENS,0,0,11,10,0,10,2,33,284,2,2021
108,STATEN ISLAND,0,0,2,0,0,0,0,2,124,2,2021
109,BRONX,1,4,38,23,3,10,0,79,217,3,2021
110,BROOKLYN,1,2,17,30,3,44,0,97,327,3,2021
111,BROOKLYN/QUEENS,0,0,0,0,0,0,0,0,5,3,2021
112,MANHATTAN,0,1,19,14,0,74,0,108,197,3,2021
113,QUEENS,1,4,11,12,1,36,3,68,284,3,2021
114,STATEN ISLAND,0,0,0,1,0,1,0,2,124,3,2021
